hash,block,from,to,amt,asset,current_price,market_value,link
0xefdf2c824dd9cd24d305b5b576c3204685879d2a0d15f90a90988238f081ee59,7440001,0x6585329751de1140d68bd6cad1b46ebec1131f75,0xc85f8f41c4f12816c72fe35f01ae32fa40f512f7,"9,000,000.00",CoinBene Coin,0.0391,"351,900.00",https://etherscan.io/tx/0xefdf2c824dd9cd24d305b5b576c3204685879d2a0d15f90a90988238f081ee59
0xabb7bc878147eaccb531bf5e111fb624ea2fe22c1b32e70f9ecfd98fe452de1e,7440044,0x6585329751de1140d68bd6cad1b46ebec1131f75,0xc85f8f41c4f12816c72fe35f01ae32fa40f512f7,"3,000,000.00",CoinBene Coin,0.0391,"117,300.00",https://etherscan.io/tx/0xabb7bc878147eaccb531bf5e111fb624ea2fe22c1b32e70f9ecfd98fe452de1e
0x8e273e830c9aaa8ab690b66a163dcc54824171e8e4c50054b0c84a588f8f6f42,7440045,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,62.00,ETH,140,"8,680.00",https://etherscan.io/tx/0x8e273e830c9aaa8ab690b66a163dcc54824171e8e4c50054b0c84a588f8f6f42
0xbff93fea47f27c760f5d60854b4feb685ac9772e53dc2783af3a662eafa66758,7440575,0x6585329751de1140d68bd6cad1b46ebec1131f75,0xc85f8f41c4f12816c72fe35f01ae32fa40f512f7,"1,298,167.47",Maximine,0.1056,"137,086.49",https://etherscan.io/tx/0xbff93fea47f27c760f5d60854b4feb685ac9772e53dc2783af3a662eafa66758
0x0f40775d668965815104a1784b6aff18315230b92ff8afb07ad3754bf9caeda4,7440627,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xc163a86f2f095150562c1c4cf48c55ad085aeb6b,386.00,ETH,140,"54,040.00",https://etherscan.io/tx/0x0f40775d668965815104a1784b6aff18315230b92ff8afb07ad3754bf9caeda4
0xb8c68c3122874018eb343175f7f502adce7d3bdc536db53e5b4ff996a0e58214,7440645,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xc163a86f2f095150562c1c4cf48c55ad085aeb6b,520.00,ETH,140,"72,800.00",https://etherscan.io/tx/0xb8c68c3122874018eb343175f7f502adce7d3bdc536db53e5b4ff996a0e58214
0xe48f8a4d1a52284f08830dba3f2a822b3a282c1ddaba73007cb3248f5aab7d08,7440749,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xc163a86f2f095150562c1c4cf48c55ad085aeb6b,30.00,ETH,140,"4,200.00",https://etherscan.io/tx/0xe48f8a4d1a52284f08830dba3f2a822b3a282c1ddaba73007cb3248f5aab7d08
0x27d9aaef3214de8bc6174b6a5936a34007d99757e7a010df7704e84f2a2d864e,7440910,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,0x712ae2390e296311d69fcd143a2ad2117a7ca997,10.00,ETH,140,"1,400.00",https://etherscan.io/tx/0x27d9aaef3214de8bc6174b6a5936a34007d99757e7a010df7704e84f2a2d864e
0x77177fc2ec6f30e89c3fe182e17e1312854a0b174674d6baad2b4f5f9d4b4335,7440924,0x6585329751de1140d68bd6cad1b46ebec1131f75,0xba351e7f0c630b3baa30a0ff38f6f4a333ef2133,"1,000,000.00",Maximine,0.1056,"105,600.00",https://etherscan.io/tx/0x77177fc2ec6f30e89c3fe182e17e1312854a0b174674d6baad2b4f5f9d4b4335
0xbf1461412fe4850970c0457b61138552610b010a3817afb6ecf42798edf8de80,7440925,0x6585329751de1140d68bd6cad1b46ebec1131f75,0xba351e7f0c630b3baa30a0ff38f6f4a333ef2133,0.10,ETH,140,14.00,https://etherscan.io/tx/0xbf1461412fe4850970c0457b61138552610b010a3817afb6ecf42798edf8de80
0xb055252a55f17c3f3421838df23dac5f83ad5ca4491e879c342a7ad0d6046a39,7440932,0xba351e7f0c630b3baa30a0ff38f6f4a333ef2133,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,"1,000,000.00",Maximine,0.1056,"105,600.00",https://etherscan.io/tx/0xb055252a55f17c3f3421838df23dac5f83ad5ca4491e879c342a7ad0d6046a39
0xc4a69a1830d47129a1c46a705d37898e75c3e60bb1d5c21994f53df58215d5cb,7440966,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xba351e7f0c630b3baa30a0ff38f6f4a333ef2133,347.82,ETH,140,"48,695.44",https://etherscan.io/tx/0xc4a69a1830d47129a1c46a705d37898e75c3e60bb1d5c21994f53df58215d5cb
0xe7f49acafe982aa121a4f89d6ad2e7a620768e5782d610dd0f9491d68af00243,7440971,0x6585329751de1140d68bd6cad1b46ebec1131f75,0xba351e7f0c630b3baa30a0ff38f6f4a333ef2133,"2,800,000.00",Maximine,0.1056,"295,680.00",https://etherscan.io/tx/0xe7f49acafe982aa121a4f89d6ad2e7a620768e5782d610dd0f9491d68af00243
0xf421e1c60cd818d216e1e9eed3b2a4b06f1512ac7bfacde94bdb9e6a4d89d0ae,7440978,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,0x712ae2390e296311d69fcd143a2ad2117a7ca997,"50,000.00",HuobiPool,2.3974,"119,870.00",https://etherscan.io/tx/0xf421e1c60cd818d216e1e9eed3b2a4b06f1512ac7bfacde94bdb9e6a4d89d0ae
